"","q","eps","param","dep"
"1",2,0.01,169,4
"2",2.08080808080808,0.01,169,4
"3",2.16161616161616,0.01,169,4
"4",2.24242424242424,0.01,169,4
"5",2.32323232323232,0.01,169,4
"6",2.4040404040404,0.01,169,4
"7",2.48484848484848,0.01,169,4
"8",2.56565656565657,0.01,169,4
"9",2.64646464646465,0.01,169,4
"10",2.72727272727273,0.01,169,4
"11",2.80808080808081,0.01,169,4
"12",2.88888888888889,0.01,169,4
"13",2.96969696969697,0.01,169,4
"14",3.05050505050505,0.01,169,4
"15",3.13131313131313,0.01,169,4
"16",3.21212121212121,0.01,169,4
"17",3.29292929292929,0.01,169,4
"18",3.37373737373737,0.01,169,4
"19",3.45454545454545,0.01,169,4
"20",3.53535353535354,0.01,169,4
"21",3.61616161616162,0.01,169,4
"22",3.6969696969697,0.01,169,4
"23",3.77777777777778,0.01,169,4
"24",3.85858585858586,0.01,169,4
"25",3.93939393939394,0.01,169,4
"26",4.02020202020202,0.01,169,4
"27",4.1010101010101,0.01,169,4
"28",4.18181818181818,0.01,169,4
"29",4.26262626262626,0.01,169,4
"30",4.34343434343434,0.01,169,4
"31",4.42424242424242,0.01,169,4
"32",4.5050505050505,0.01,169,4
"33",4.58585858585859,0.01,169,4
"34",4.66666666666667,0.01,169,4
"35",4.74747474747475,0.01,169,4
"36",4.82828282828283,0.01,169,4
"37",4.90909090909091,0.01,169,4
"38",4.98989898989899,0.01,169,4
"39",5.07070707070707,0.01,169,4
"40",5.15151515151515,0.01,169,4
"41",5.23232323232323,0.01,169,4
"42",5.31313131313131,0.01,169,4
"43",5.39393939393939,0.01,169,4
"44",5.47474747474747,0.01,169,4
"45",5.55555555555556,0.01,169,4
"46",5.63636363636364,0.01,169,4
"47",5.71717171717172,0.01,169,4
"48",5.7979797979798,0.01,169,4
"49",5.87878787878788,0.01,169,4
"50",5.95959595959596,0.01,169,4
"51",6.04040404040404,0.01,169,4
"52",6.12121212121212,0.01,169,4
"53",6.2020202020202,0.01,169,4
"54",6.28282828282828,0.01,169,4
"55",6.36363636363636,0.01,169,4
"56",6.44444444444444,0.01,169,4
"57",6.52525252525253,0.01,169,4
"58",6.60606060606061,0.01,169,4
"59",6.68686868686869,0.01,169,4
"60",6.76767676767677,0.01,169,4
"61",6.84848484848485,0.01,169,4
"62",6.92929292929293,0.01,169,4
"63",7.01010101010101,0.01,169,4
"64",7.09090909090909,0.01,169,4
"65",7.17171717171717,0.01,169,4
"66",7.25252525252525,0.01,169,4
"67",7.33333333333333,0.01,169,4
"68",7.41414141414141,0.01,169,4
"69",7.4949494949495,0.01,169,4
"70",7.57575757575758,0.01,169,4
"71",7.65656565656566,0.01,169,4
"72",7.73737373737374,0.01,169,4
"73",7.81818181818182,0.01,169,4
"74",7.8989898989899,0.01,169,4
"75",7.97979797979798,0.01,169,4
"76",8.06060606060606,0.01,169,4
"77",8.14141414141414,0.01,169,4
"78",8.22222222222222,0.01,169,4
"79",8.3030303030303,0.01,169,4
"80",8.38383838383838,0.01,169,4
"81",8.46464646464647,0.01,169,4
"82",8.54545454545455,0.01,169,4
"83",8.62626262626263,0.01,169,4
"84",8.70707070707071,0.01,169,4
"85",8.78787878787879,0.01,169,4
"86",8.86868686868687,0.01,169,4
"87",8.94949494949495,0.01,169,4
"88",9.03030303030303,0.01,169,4
"89",9.11111111111111,0.01,169,4
"90",9.19191919191919,0.01,169,4
"91",9.27272727272727,0.01,169,4
"92",9.35353535353535,0.01,169,4
"93",9.43434343434344,0.01,169,4
"94",9.51515151515152,0.01,169,4
"95",9.5959595959596,0.01,169,4
"96",9.67676767676768,0.01,169,4
"97",9.75757575757576,0.01,169,4
"98",9.83838383838384,0.01,169,4
"99",9.91919191919192,0.01,169,4
"100",10,0.01,169,4
"101",2,0.0503030303030303,97,3
"102",2.08080808080808,0.0503030303030303,97,3
"103",2.16161616161616,0.0503030303030303,97,3
"104",2.24242424242424,0.0503030303030303,97,3
"105",2.32323232323232,0.0503030303030303,97,3
"106",2.4040404040404,0.0503030303030303,97,3
"107",2.48484848484848,0.0503030303030303,97,3
"108",2.56565656565657,0.0503030303030303,97,3
"109",2.64646464646465,0.0503030303030303,97,3
"110",2.72727272727273,0.0503030303030303,97,3
"111",2.80808080808081,0.0503030303030303,97,3
"112",2.88888888888889,0.0503030303030303,97,3
"113",2.96969696969697,0.0503030303030303,97,3
"114",3.05050505050505,0.0503030303030303,97,3
"115",3.13131313131313,0.0503030303030303,97,3
"116",3.21212121212121,0.0503030303030303,97,3
"117",3.29292929292929,0.0503030303030303,97,3
"118",3.37373737373737,0.0503030303030303,97,3
"119",3.45454545454545,0.0503030303030303,97,3
"120",3.53535353535354,0.0503030303030303,97,3
"121",3.61616161616162,0.0503030303030303,97,3
"122",3.6969696969697,0.0503030303030303,97,3
"123",3.77777777777778,0.0503030303030303,97,3
"124",3.85858585858586,0.0503030303030303,97,3
"125",3.93939393939394,0.0503030303030303,97,3
"126",4.02020202020202,0.0503030303030303,97,3
"127",4.1010101010101,0.0503030303030303,97,3
"128",4.18181818181818,0.0503030303030303,97,3
"129",4.26262626262626,0.0503030303030303,97,3
"130",4.34343434343434,0.0503030303030303,97,3
"131",4.42424242424242,0.0503030303030303,97,3
"132",4.5050505050505,0.0503030303030303,97,3
"133",4.58585858585859,0.0503030303030303,97,3
"134",4.66666666666667,0.0503030303030303,97,3
"135",4.74747474747475,0.0503030303030303,97,3
"136",4.82828282828283,0.0503030303030303,97,3
"137",4.90909090909091,0.0503030303030303,97,3
"138",4.98989898989899,0.0503030303030303,97,3
"139",5.07070707070707,0.0503030303030303,97,3
"140",5.15151515151515,0.0503030303030303,97,3
"141",5.23232323232323,0.0503030303030303,97,3
"142",5.31313131313131,0.0503030303030303,97,3
"143",5.39393939393939,0.0503030303030303,97,3
"144",5.47474747474747,0.0503030303030303,97,3
"145",5.55555555555556,0.0503030303030303,97,3
"146",5.63636363636364,0.0503030303030303,97,3
"147",5.71717171717172,0.0503030303030303,97,3
"148",5.7979797979798,0.0503030303030303,97,3
"149",5.87878787878788,0.0503030303030303,97,3
"150",5.95959595959596,0.0503030303030303,97,3
"151",6.04040404040404,0.0503030303030303,97,3
"152",6.12121212121212,0.0503030303030303,97,3
"153",6.2020202020202,0.0503030303030303,97,3
"154",6.28282828282828,0.0503030303030303,97,3
"155",6.36363636363636,0.0503030303030303,97,3
"156",6.44444444444444,0.0503030303030303,97,3
"157",6.52525252525253,0.0503030303030303,97,3
"158",6.60606060606061,0.0503030303030303,97,3
"159",6.68686868686869,0.0503030303030303,97,3
"160",6.76767676767677,0.0503030303030303,97,3
"161",6.84848484848485,0.0503030303030303,97,3
"162",6.92929292929293,0.0503030303030303,97,3
"163",7.01010101010101,0.0503030303030303,97,3
"164",7.09090909090909,0.0503030303030303,97,3
"165",7.17171717171717,0.0503030303030303,97,3
"166",7.25252525252525,0.0503030303030303,97,3
"167",7.33333333333333,0.0503030303030303,97,3
"168",7.41414141414141,0.0503030303030303,97,3
"169",7.4949494949495,0.0503030303030303,97,3
"170",7.57575757575758,0.0503030303030303,97,3
"171",7.65656565656566,0.0503030303030303,97,3
"172",7.73737373737374,0.0503030303030303,97,3
"173",7.81818181818182,0.0503030303030303,97,3
"174",7.8989898989899,0.0503030303030303,97,3
"175",7.97979797979798,0.0503030303030303,97,3
"176",8.06060606060606,0.0503030303030303,97,3
"177",8.14141414141414,0.0503030303030303,97,3
"178",8.22222222222222,0.0503030303030303,97,3
"179",8.3030303030303,0.0503030303030303,97,3
"180",8.38383838383838,0.0503030303030303,97,3
"181",8.46464646464647,0.0503030303030303,97,3
"182",8.54545454545455,0.0503030303030303,97,3
"183",8.62626262626263,0.0503030303030303,97,3
"184",8.70707070707071,0.0503030303030303,97,3
"185",8.78787878787879,0.0503030303030303,97,3
"186",8.86868686868687,0.0503030303030303,97,3
"187",8.94949494949495,0.0503030303030303,97,3
"188",9.03030303030303,0.0503030303030303,97,3
"189",9.11111111111111,0.0503030303030303,97,3
"190",9.19191919191919,0.0503030303030303,97,3
"191",9.27272727272727,0.0503030303030303,97,3
"192",9.35353535353535,0.0503030303030303,97,3
"193",9.43434343434344,0.0503030303030303,97,3
"194",9.51515151515152,0.0503030303030303,97,3
"195",9.5959595959596,0.0503030303030303,97,3
"196",9.67676767676768,0.0503030303030303,97,3
"197",9.75757575757576,0.0503030303030303,97,3
"198",9.83838383838384,0.0503030303030303,97,3
"199",9.91919191919192,0.0503030303030303,97,3
"200",10,0.0503030303030303,97,3
"201",2,0.0906060606060606,25,2
"202",2.08080808080808,0.0906060606060606,25,2
"203",2.16161616161616,0.0906060606060606,25,2
"204",2.24242424242424,0.0906060606060606,25,2
"205",2.32323232323232,0.0906060606060606,25,2
"206",2.4040404040404,0.0906060606060606,25,2
"207",2.48484848484848,0.0906060606060606,25,2
"208",2.56565656565657,0.0906060606060606,25,2
"209",2.64646464646465,0.0906060606060606,25,2
"210",2.72727272727273,0.0906060606060606,25,2
"211",2.80808080808081,0.0906060606060606,25,2
"212",2.88888888888889,0.0906060606060606,25,2
"213",2.96969696969697,0.0906060606060606,25,2
"214",3.05050505050505,0.0906060606060606,25,2
"215",3.13131313131313,0.0906060606060606,25,2
"216",3.21212121212121,0.0906060606060606,25,2
"217",3.29292929292929,0.0906060606060606,25,2
"218",3.37373737373737,0.0906060606060606,25,2
"219",3.45454545454545,0.0906060606060606,25,2
"220",3.53535353535354,0.0906060606060606,25,2
"221",3.61616161616162,0.0906060606060606,25,2
"222",3.6969696969697,0.0906060606060606,25,2
"223",3.77777777777778,0.0906060606060606,25,2
"224",3.85858585858586,0.0906060606060606,25,2
"225",3.93939393939394,0.0906060606060606,25,2
"226",4.02020202020202,0.0906060606060606,25,2
"227",4.1010101010101,0.0906060606060606,25,2
"228",4.18181818181818,0.0906060606060606,25,2
"229",4.26262626262626,0.0906060606060606,25,2
"230",4.34343434343434,0.0906060606060606,25,2
"231",4.42424242424242,0.0906060606060606,25,2
"232",4.5050505050505,0.0906060606060606,25,2
"233",4.58585858585859,0.0906060606060606,25,2
"234",4.66666666666667,0.0906060606060606,25,2
"235",4.74747474747475,0.0906060606060606,25,2
"236",4.82828282828283,0.0906060606060606,25,2
"237",4.90909090909091,0.0906060606060606,25,2
"238",4.98989898989899,0.0906060606060606,25,2
"239",5.07070707070707,0.0906060606060606,25,2
"240",5.15151515151515,0.0906060606060606,25,2
"241",5.23232323232323,0.0906060606060606,25,2
"242",5.31313131313131,0.0906060606060606,25,2
"243",5.39393939393939,0.0906060606060606,25,2
"244",5.47474747474747,0.0906060606060606,25,2
"245",5.55555555555556,0.0906060606060606,25,2
"246",5.63636363636364,0.0906060606060606,25,2
"247",5.71717171717172,0.0906060606060606,25,2
"248",5.7979797979798,0.0906060606060606,25,2
"249",5.87878787878788,0.0906060606060606,25,2
"250",5.95959595959596,0.0906060606060606,25,2
"251",6.04040404040404,0.0906060606060606,25,2
"252",6.12121212121212,0.0906060606060606,25,2
"253",6.2020202020202,0.0906060606060606,25,2
"254",6.28282828282828,0.0906060606060606,25,2
"255",6.36363636363636,0.0906060606060606,25,2
"256",6.44444444444444,0.0906060606060606,25,2
"257",6.52525252525253,0.0906060606060606,25,2
"258",6.60606060606061,0.0906060606060606,25,2
"259",6.68686868686869,0.0906060606060606,25,2
"260",6.76767676767677,0.0906060606060606,25,2
"261",6.84848484848485,0.0906060606060606,25,2
"262",6.92929292929293,0.0906060606060606,25,2
"263",7.01010101010101,0.0906060606060606,25,2
"264",7.09090909090909,0.0906060606060606,25,2
"265",7.17171717171717,0.0906060606060606,25,2
"266",7.25252525252525,0.0906060606060606,25,2
"267",7.33333333333333,0.0906060606060606,25,2
"268",7.41414141414141,0.0906060606060606,25,2
"269",7.4949494949495,0.0906060606060606,25,2
"270",7.57575757575758,0.0906060606060606,25,2
"271",7.65656565656566,0.0906060606060606,25,2
"272",7.73737373737374,0.0906060606060606,25,2
"273",7.81818181818182,0.0906060606060606,25,2
"274",7.8989898989899,0.0906060606060606,25,2
"275",7.97979797979798,0.0906060606060606,25,2
"276",8.06060606060606,0.0906060606060606,25,2
"277",8.14141414141414,0.0906060606060606,25,2
"278",8.22222222222222,0.0906060606060606,25,2
"279",8.3030303030303,0.0906060606060606,25,2
"280",8.38383838383838,0.0906060606060606,25,2
"281",8.46464646464647,0.0906060606060606,25,2
"282",8.54545454545455,0.0906060606060606,25,2
"283",8.62626262626263,0.0906060606060606,25,2
"284",8.70707070707071,0.0906060606060606,25,2
"285",8.78787878787879,0.0906060606060606,25,2
"286",8.86868686868687,0.0906060606060606,25,2
"287",8.94949494949495,0.0906060606060606,25,2
"288",9.03030303030303,0.0906060606060606,25,2
"289",9.11111111111111,0.0906060606060606,25,2
"290",9.19191919191919,0.0906060606060606,25,2
"291",9.27272727272727,0.0906060606060606,25,2
"292",9.35353535353535,0.0906060606060606,25,2
"293",9.43434343434344,0.0906060606060606,25,2
"294",9.51515151515152,0.0906060606060606,25,2
"295",9.5959595959596,0.0906060606060606,25,2
"296",9.67676767676768,0.0906060606060606,25,2
"297",9.75757575757576,0.0906060606060606,25,2
"298",9.83838383838384,0.0906060606060606,25,2
"299",9.91919191919192,0.0906060606060606,25,2
"300",10,0.0906060606060606,25,2
"301",2,0.130909090909091,25,2
"302",2.08080808080808,0.130909090909091,25,2
"303",2.16161616161616,0.130909090909091,25,2
"304",2.24242424242424,0.130909090909091,25,2
"305",2.32323232323232,0.130909090909091,25,2
"306",2.4040404040404,0.130909090909091,25,2
"307",2.48484848484848,0.130909090909091,25,2
"308",2.56565656565657,0.130909090909091,25,2
"309",2.64646464646465,0.130909090909091,25,2
"310",2.72727272727273,0.130909090909091,25,2
"311",2.80808080808081,0.130909090909091,25,2
"312",2.88888888888889,0.130909090909091,25,2
"313",2.96969696969697,0.130909090909091,25,2
"314",3.05050505050505,0.130909090909091,25,2
"315",3.13131313131313,0.130909090909091,25,2
"316",3.21212121212121,0.130909090909091,25,2
"317",3.29292929292929,0.130909090909091,25,2
"318",3.37373737373737,0.130909090909091,25,2
"319",3.45454545454545,0.130909090909091,25,2
"320",3.53535353535354,0.130909090909091,25,2
"321",3.61616161616162,0.130909090909091,25,2
"322",3.6969696969697,0.130909090909091,25,2
"323",3.77777777777778,0.130909090909091,25,2
"324",3.85858585858586,0.130909090909091,25,2
"325",3.93939393939394,0.130909090909091,25,2
"326",4.02020202020202,0.130909090909091,25,2
"327",4.1010101010101,0.130909090909091,25,2
"328",4.18181818181818,0.130909090909091,25,2
"329",4.26262626262626,0.130909090909091,25,2
"330",4.34343434343434,0.130909090909091,25,2
"331",4.42424242424242,0.130909090909091,25,2
"332",4.5050505050505,0.130909090909091,25,2
"333",4.58585858585859,0.130909090909091,25,2
"334",4.66666666666667,0.130909090909091,25,2
"335",4.74747474747475,0.130909090909091,25,2
"336",4.82828282828283,0.130909090909091,25,2
"337",4.90909090909091,0.130909090909091,25,2
"338",4.98989898989899,0.130909090909091,25,2
"339",5.07070707070707,0.130909090909091,25,2
"340",5.15151515151515,0.130909090909091,25,2
"341",5.23232323232323,0.130909090909091,25,2
"342",5.31313131313131,0.130909090909091,25,2
"343",5.39393939393939,0.130909090909091,25,2
"344",5.47474747474747,0.130909090909091,25,2
"345",5.55555555555556,0.130909090909091,25,2
"346",5.63636363636364,0.130909090909091,25,2
"347",5.71717171717172,0.130909090909091,25,2
"348",5.7979797979798,0.130909090909091,25,2
"349",5.87878787878788,0.130909090909091,25,2
"350",5.95959595959596,0.130909090909091,25,2
"351",6.04040404040404,0.130909090909091,25,2
"352",6.12121212121212,0.130909090909091,25,2
"353",6.2020202020202,0.130909090909091,25,2
"354",6.28282828282828,0.130909090909091,25,2
"355",6.36363636363636,0.130909090909091,25,2
"356",6.44444444444444,0.130909090909091,25,2
"357",6.52525252525253,0.130909090909091,25,2
"358",6.60606060606061,0.130909090909091,25,2
"359",6.68686868686869,0.130909090909091,25,2
"360",6.76767676767677,0.130909090909091,25,2
"361",6.84848484848485,0.130909090909091,25,2
"362",6.92929292929293,0.130909090909091,25,2
"363",7.01010101010101,0.130909090909091,25,2
"364",7.09090909090909,0.130909090909091,25,2
"365",7.17171717171717,0.130909090909091,25,2
"366",7.25252525252525,0.130909090909091,25,2
"367",7.33333333333333,0.130909090909091,25,2
"368",7.41414141414141,0.130909090909091,25,2
"369",7.4949494949495,0.130909090909091,25,2
"370",7.57575757575758,0.130909090909091,25,2
"371",7.65656565656566,0.130909090909091,25,2
"372",7.73737373737374,0.130909090909091,25,2
"373",7.81818181818182,0.130909090909091,25,2
"374",7.8989898989899,0.130909090909091,25,2
"375",7.97979797979798,0.130909090909091,25,2
"376",8.06060606060606,0.130909090909091,25,2
"377",8.14141414141414,0.130909090909091,25,2
"378",8.22222222222222,0.130909090909091,25,2
"379",8.3030303030303,0.130909090909091,25,2
"380",8.38383838383838,0.130909090909091,25,2
"381",8.46464646464647,0.130909090909091,25,2
"382",8.54545454545455,0.130909090909091,25,2
"383",8.62626262626263,0.130909090909091,25,2
"384",8.70707070707071,0.130909090909091,25,2
"385",8.78787878787879,0.130909090909091,25,2
"386",8.86868686868687,0.130909090909091,25,2
